time,magnitude,lat,lon
2009-12-22T03:39:07.720000Z,5.0,10.224,40.846
2009-11-07T21:07:13.030000Z,4.3,12.115,45.924
2009-11-06T19:27:04.860000Z,4.9,12.05,45.828
2009-11-06T16:22:06.180000Z,4.1,11.931,45.823
2009-11-06T01:26:02.800000Z,4.8,12.018,44.683
2009-11-05T11:05:46.270000Z,4.5,12.196,45.801
2009-11-05T08:05:49.750000Z,5.2,12.101,45.903
2009-11-05T07:57:30.720000Z,5.4,12.075,45.924
2009-11-05T07:28:47.870000Z,4.0,12.129,45.746
2009-11-05T07:12:32.440000Z,5.6,12.108,45.907
2009-11-05T06:31:16.290000Z,4.3,12.085,45.93
2009-11-05T06:23:04.220000Z,5.1,12.137,45.812
2009-10-13T23:17:06.060000Z,4.3,11.983,46.033
2009-09-19T17:56:09.200000Z,4.5,9.563,40.181
2009-05-26T05:34:06.230000Z,4.4,11.935,43.905
2008-10-18T12:57:11.620000Z,4.0,12.382,40.693
2008-10-17T20:24:24.860000Z,4.5,12.146,40.492
2008-10-17T15:45:22.250000Z,4.3,12.383,40.55
2008-10-17T10:57:15.670000Z,4.9,12.335,40.646
2008-10-17T09:40:41.280000Z,4.9,12.386,40.613
2008-08-19T05:35:58.000000Z,4.0,11.773,45.503
2008-04-29T22:41:28.090000Z,4.4,11.354,43.123
2008-04-29T17:04:51.210000Z,4.1,11.513,43.031
2008-04-29T02:33:17.440000Z,4.5,11.751,42.84
2008-04-29T01:50:24.740000Z,4.1,11.721,42.834
2008-04-29T01:47:47.920000Z,4.3,11.652,42.953
2008-04-29T01:07:31.040000Z,5.0,11.715,42.808
2008-04-29T00:06:59.200000Z,5.0,11.683,42.986
2008-03-01T14:53:52.080000Z,4.5,11.804,43.951
2007-12-23T05:18:01.500000Z,4.6,4.762,36.228
2007-11-14T13:43:40.360000Z,4.1,12.464,47.215
2007-11-11T21:21:41.810000Z,4.7,12.15,40.687
2007-11-06T23:44:06.110000Z,4.4,13.572,39.929
2007-11-04T21:06:17.760000Z,4.5,13.358,39.891
2007-10-02T09:06:31.840000Z,5.0,13.439,40.828
2007-08-31T21:09:44.340000Z,5.1,12.606,47.989
2007-08-05T06:43:59.680000Z,4.6,12.538,47.502
2007-08-02T17:40:10.990000Z,4.2,12.469,47.604
2007-08-02T13:37:29.210000Z,5.7,12.511,47.462
2007-07-08T18:31:30.220000Z,4.1,10.327,40.257
2007-06-08T14:34:39.460000Z,4.3,12.458,47.453
2007-05-17T00:21:38.170000Z,4.4,9.765,40.669
2007-05-14T19:03:34.410000Z,4.5,12.552,47.519
2007-04-28T00:25:42.850000Z,4.6,12.05,43.865
2007-04-09T14:38:53.910000Z,4.3,12.103,43.737
2007-02-26T08:48:59.390000Z,5.0,9.974,42.876
2007-01-09T07:29:12.120000Z,4.1,14.984,42.071
2006-12-21T09:11:50.330000Z,4.5,11.973,44.229
2006-12-21T09:07:46.260000Z,5.0,12.039,43.55
2006-12-07T11:58:23.080000Z,4.9,12.274,45.99
2006-11-16T07:03:50.160000Z,4.3,12.067,46.113
2006-11-01T22:31:21.400000Z,4.4,5.781,36.976
2006-10-19T14:14:03.960000Z,4.1,13.553,39.854
2006-09-13T06:39:19.150000Z,4.7,11.791,43.081
2006-08-07T16:56:34.250000Z,4.7,11.428,45.195
2006-07-04T05:51:58.460000Z,4.5,7.917,39.009
2006-06-17T16:53:10.600000Z,4.3,12.237,40.526
2006-06-17T16:20:40.510000Z,4.5,12.315,40.54
2006-06-17T14:45:15.930000Z,4.6,12.399,40.801
2006-06-17T14:33:32.390000Z,4.4,12.238,40.512
2006-04-10T13:36:46.680000Z,4.9,14.529,39.939
2006-03-09T01:30:08.240000Z,4.4,5.355,32.177
2006-02-21T11:51:52.240000Z,4.0,11.91,42.973
2006-02-21T11:21:14.870000Z,4.4,11.571,43.135
2006-02-18T09:20:28.050000Z,4.5,11.519,42.827
2006-02-09T10:18:00.300000Z,4.5,11.733,42.97
2006-01-31T13:36:57.510000Z,4.0,14.568,41.584
2005-12-02T09:47:45.010000Z,4.6,11.807,43.54
2005-12-02T09:13:28.860000Z,4.3,11.784,43.535
2005-11-11T13:53:37.180000Z,4.2,12.052,45.857
2005-11-06T12:11:18.300000Z,4.5,11.696,43.625
2005-11-05T00:21:12.340000Z,4.7,11.916,43.649
2005-10-04T04:19:40.430000Z,4.5,12.461,40.646
2005-10-02T23:24:41.940000Z,4.9,12.02,40.537
2005-10-01T04:16:21.150000Z,4.5,12.598,40.822
2005-09-29T20:49:12.810000Z,4.0,12.148,40.736
